"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,40.3025509542757,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,50.4753116436358,45.1388203466486,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,40.3242460866818,40.3025793682348,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806,44.8358378754074
90,49.9344311661114,40.3064934527662,40.3065307621325,40.3064684354319,0,1,1,1,42.6988207040083,42.1906851214154,44.9131265682334,40.3103063270195,41.4206834899492,43.2216184725787,46.8017083110749,49.9631469211147,50.3981465310232,50.4741291891729,44.922609772518,43.737647494758,46.9759339696934,50.2046115019013,50.3696491845931,43.1156850335875,40.6818621895828,40.3063931727854,41.908361151308,42.6690044476443,44.8427840332997,43.4860249482651,42.8289471569476,42.7918959247498
120,49.3889997375922,40.3063374233243,40.3063513955087,40.3063179556131,0,1,1,2,42.6238461738568,44.213743045594,45.4218295965551,40.3063601362283,40.6841177409847,42.609882329184,45.0033986429251,48.9937151858038,50.1056477659501,50.4405244440132,44.1224327155216,43.5483305391579,48.3311385604961,48.7951094754528,43.1527681522224,41.9545246929066,40.3954571532641,40.3065621708925,41.5345256030079,41.6615012503042,43.3099207794451,42.6713796128232,42.3930497249753,41.9292050534902
150,44.7941487577194,40.3064883662921,40.3065076680886,40.3066386895989,0,1,2,3,43.6990612584727,44.6221915481292,47.4144069312333,40.2996942594128,40.9940280494055,41.2065846354816,41.4933565391847,42.7671102192421,44.1683748493746,49.4709496032641,44.3215210251074,43.3490490827082,42.7830372878239,42.210045119785,41.8115102959151,41.8970511814052,41.1698757973581,40.3048729512308,41.414574215667,41.5515793551399,42.4902055362076,43.5997975354957,43.2615686566361,42.5730673025482
180,42.6006920679654,40.306551992509,40.3064045996324,40.3064931523618,0,2,2,3,42.6324536433627,42.8207922179255,43.0646102856352,40.3133596631275,40.4793592279952,40.6424996570095,40.6837799709876,40.8108098620604,41.0345442590582,42.9424756990795,43.026379405809,41.5459725951242,41.4959234548001,41.4790858436017,41.487705326414,41.3184522890214,41.2304513737922,40.3229929351542,41.5609673270556,42.172180874136,42.3112470745686,42.6673318567995,43.9911990535394,43.4280023887369
210,42.5506927038646,40.3063484495313,40.3065051134552,40.306546955117,0,1,2,2,42.401940980336,42.1561520130867,42.2482031523316,40.3166882761604,40.8555734537009,40.9262574051187,40.9856722838414,40.9861738189907,41.0481296747589,41.2343761524388,41.8264165855164,42.2829033687881,42.2926772998185,42.3176054827592,42.0792489328694,41.4999433850495,40.990495162298,40.3115471772182,41.1602017587991,41.7660468712786,42.6598806872005,42.3792328327328,43.4454797039527,43.2924194268728
240,42.4392437063233,40.3064859399017,40.3064823935164,40.306450358114,0,1,1,1,42.3117509120982,42.386973980777,42.4189273600418,40.3121475865324,40.9552684447087,41.0556004557217,41.3030467202353,41.4391032558596,41.4991195936111,41.4976435382744,42.052706794247,42.569129285231,42.5432923086313,42.355351050757,41.9868517497117,41.1891567033232,40.7299335207023,40.3151708669739,41.414072251422,41.6893807465056,42.3883053023883,42.5529394362652,42.5198071798675,42.8115848272837
270,42.2358220236244,40.3064104902954,40.3064731204713,40.3064348928506,0,1,1,1,42.0631228966597,42.1585458733952,42.2809094046725,40.3075366582509,41.0925396677693,41.3741123202462,41.4253881663718,41.5593461531388,41.6164000241568,41.6399432386957,41.9872090730161,42.4378899286952,42.3142435329262,41.9960742021596,41.1115335046984,40.855877376185,40.5714575239874,40.3060011244229,40.9518685280924,41.0524509463877,41.5485557313551,42.3707420821319,42.1404567231658,42.4516789345172
300,41.9363148624478,40.3064887245432,40.3064667155025,40.3064741304276,0,1,1,1,41.6960706728648,41.9713560552787,41.9340064860289,40.305171878513,40.7956906239729,41.253992219458,41.344674605857,41.3305454316825,41.4034963345059,41.4564179116638,41.6565958703222,42.0410005073367,41.578055930586,41.2082579571283,40.8436343782064,40.7652816847751,40.4398268371988,40.3067520376703,40.803433144681,40.8739028385606,41.0075861980315,42.3003745558485,42.0824925831461,42.2069612010548
