"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,40.3025509542757,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,50.4753116436358,45.1388203466486,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,40.3242460866818,40.3025793682348,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806,44.8358378754074
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.3095136826969,40.5415711438625,40.9384520729979,42.0946153698484,44.531515781721,46.2355899898106,49.9689403787374,46.4407383232506,44.3980580208281,48.4528358094669,46.7505612034321,42.9565364310557,41.1367710454333,40.5123487355112,40.3094744207693,40.9986991819802,41.5574546245398,42.5108855588647,44.6576350265063,44.6316583788309,45.4283339243184
120,42.8604841064557,40.3064554466073,40.3065633170832,40.3065141203489,0,2,2,2,43.5711048424447,45.573632646136,46.2531925988388,40.3305447973787,40.7558737468285,40.8940293953156,41.0668808931014,41.3657060028374,41.8961604364255,46.170002470768,45.3138534595259,43.5714758944934,43.1515202015175,42.3698508797035,41.9036759186201,41.8792360796122,42.899929311109,40.3068216426346,41.8323319932465,41.7927437422828,41.8328508771344,44.5082033217635,44.5175382964233,44.5252826240279
150,42.4919638741183,40.306378053513,40.3064152313895,40.3064291931785,0,1,1,1,43.4597981609915,44.8827801092566,44.3115669031184,40.3129969584143,41.2885752096111,41.4958848266349,41.7149390271676,41.8128888961802,41.8074333617448,42.4750132493252,44.1488772066171,42.7694706163062,42.6451255227584,42.6644439655558,42.5645535717419,42.4127945789836,40.8887328151804,40.331027670935,41.7848703112122,42.0419584154705,42.1243867013333,44.135908203709,44.2087776421992,44.0329643497285
180,42.1882346631224,40.3064827904898,40.3065049816978,40.3065080395849,0,1,1,1,41.8701922471098,42.9895036448644,42.1293949664873,40.3150824009176,40.9026659893405,41.1836910033213,41.5121832443175,42.1307555927607,42.3819247370052,42.2873546748228,43.4366211383663,42.6572179608583,42.3398189107299,42.3385913701798,42.3622187583567,42.1554452458113,40.6322576359079,40.3049005580695,41.6316355711377,42.1611980827914,42.3030816320604,43.9276314029836,43.816578502441,43.7033996383399
210,41.9994274124615,40.3063838267032,40.3063947382256,40.3064098815115,0,1,1,1,42.6502041867162,42.509992217903,42.0485464743823,40.3275795872485,40.834767377603,41.2826271570765,41.3494945428478,41.6963124795372,42.104105501982,42.0553024922012,42.356287765586,42.2144193159557,41.9970517999834,41.9762869551508,42.1267772951991,42.0311453432191,40.3080124926205,40.3216465325572,41.7060144371526,42.5644489716407,42.7260202133364,43.6526653127484,43.5617744752004,43.4017163638056
240,41.9520568715498,40.3064911237208,40.3064927019352,40.3064706524466,0,1,1,1,42.3441224608951,41.9730284103183,42.0850686514307,40.3214759594725,40.6563378443181,40.7992516622723,40.8925272356214,41.1650601906583,41.4963627237622,41.5804383850194,41.7900691312991,41.6791057032258,41.7234252014928,41.8981012087199,41.9392402717142,40.9350433935906,40.5104861202404,40.3070269185827,41.1053138780889,41.7309967983483,42.4016143502317,43.2086724269858,43.2396819888208,43.0797271947101
270,41.8954240418238,40.3064487302776,40.3064432450245,40.3064584032992,0,1,1,1,41.675086680184,41.5034055784422,41.4662267764963,40.3141675463382,40.5947528731349,40.6363828923677,40.686197050058,40.7559494948671,40.8665797687966,41.3635944802688,41.413654656287,41.5228722229962,41.6299344994764,41.6767542846397,41.1093335995305,40.6100249298181,40.5415475649601,40.309909812365,40.7858736715753,41.1071757856363,42.0949429216993,42.8173655642491,42.8574333263439,42.5662404312546
300,41.8242773958691,40.3064714887361,40.3064595851652,40.3064785189232,0,1,1,1,41.3472155422085,41.3079760792955,41.0929800360925,40.3115068395683,40.538950631809,40.650084065755,40.6781023971542,40.70501658211,40.7323659977841,40.9222376429875,41.128566822509,41.3801324253763,41.2332149170332,41.0200634058006,40.7417720227755,40.7141977000677,40.4056163836524,40.3103826788876,40.5980379079336,40.642341888296,41.13740460366,42.3866107690981,42.4022938053257,42.0305601854407
