"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.475424554968,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,49.1461048285453,49.5978917210805,50.1196289384645,50.1783558412767,0,3,3,3,50.2983351760342,50.402253107233,50.4523835454317,48.1970097526183,46.2377480140132,43.9898138442804,47.5283969379419,49.6587522679207,48.4910864130764,46.1882372567894,43.5323534894197,46.8695667202993,49.1583536285777,49.6153533120978,46.7915191477575,43.0709694341817,49.4865737051307,50.4686251674343
90,45.0888408445286,47.1869137615693,48.121494376168,48.0668297911064,0,3,3,3,47.0972786326581,48.8376638859222,48.4807554100663,45.2649279196916,44.3269170484807,43.8153546382973,45.8148902672179,46.6137159966852,45.6427235052174,44.7421726350555,42.253796277786,45.6490364413136,46.3837683803921,46.8510705508711,44.9171928743379,41.4768264693564,45.5272415897805,48.9221572603156
120,42.2499698207047,45.2893582396212,45.9907136106033,46.3753653245347,0,3,3,3,44.5995458012119,46.9147573701157,46.8302661117284,43.6917461092938,43.0366122507185,42.8824718533451,45.1821170366611,45.0020395151073,43.7897079385965,43.9672984627663,41.9798678107007,44.2485117899873,43.9620990232145,43.5595515786089,43.9476071584184,41.5576343491639,43.688291068156,44.7661836030047
150,42.1588187315798,43.3721301348386,44.2978794764139,44.194481108257,0,3,3,3,42.7151395508929,44.7048523965016,44.1774293161179,42.7368501816804,42.9480927371858,42.9548275927753,43.1936429301052,43.5478884564046,42.6795626828358,42.7664530826754,42.3103249349028,42.9270946397513,43.0082167109077,42.5637174308088,42.0045639771686,42.3974853741878,42.4227260688285,43.6093115423271
180,41.7404052278503,42.2996483456121,42.9291756059016,42.9452984852145,0,3,3,3,41.809541854942,43.0018217367726,42.6308946943676,42.8381884549886,43.0084816987671,43.1289932344766,43.4377181386847,42.8013520459699,42.2660368472374,42.4390817419503,41.7421409743089,42.5910788880604,42.3427344629749,42.3412760359236,42.293886056662,41.6830972615032,43.3910721096328,43.145691702412
210,41.358488811566,42.0010223172375,42.4321048427856,42.2043518547931,0,3,3,3,41.8759810979669,42.287050466535,42.0934686666101,42.3362963823646,42.445820048257,42.5417245736786,42.4874176957946,42.1015575262744,41.9378768297284,42.1120237917062,41.4545435898933,42.2460846786236,42.2225586115288,42.2038011127419,42.1894799115532,41.4813463930228,42.750070606685,42.8862251779501
240,40.9998077838375,41.6051196631637,42.1960953026561,41.7677796879447,0,3,3,1,41.6538620078794,42.0714028039608,41.6308037464,41.9650291838492,42.0374998289221,41.9220088054571,42.1798446876334,42.1849533243342,41.5533614661667,41.5420229573836,41.1574556729393,41.8948356087444,41.8127056772005,42.3383075964167,42.3169352533615,41.9831241757349,42.68019149028,42.8113782024995
270,40.9533421895674,41.2923015678603,41.9982222253044,41.586704292737,0,3,3,1,41.330648943903,41.5794154922373,41.565271443044,41.5397139735352,41.6605914212086,41.478049382024,41.6757945508019,41.8391973385285,41.406840810578,41.589112069552,41.0321675275564,41.8337474518271,41.5058749099392,42.2577272781469,42.301820525821,41.6008692417301,42.4877075683236,42.6792756199067
300,40.8841703869549,41.0511999518571,41.6519775804463,41.3988918679355,0,3,3,1,41.0452565439374,41.2323770472347,41.2557775108809,41.1884918676437,41.352953423228,41.1805755786689,41.5268651453797,41.3725104916223,41.2676756329507,41.3666156821097,40.9155419038391,41.519249768126,41.3985589300107,42.1427829657859,42.0282128640266,41.0111936638849,42.4103646251765,42.2636217964318
330,40.7799791161524,40.8783835991911,41.3609345494669,41.1913943583583,0,3,3,1,40.7907637765763,41.0608090499335,41.2039684993856,41.0014276606556,41.1332204674589,41.1606295282367,41.1973719672603,41.0495157982103,41.1681397021323,41.2387714725182,40.8446291800037,41.2156777117693,41.2472295199408,41.9078279347257,41.7193635368003,40.9451010633341,42.042193824163,41.8436713758896
360,41.014113203096,40.9306438404029,41.4470027785892,41.1416517837246,0,0,1,1,40.9235671777807,41.4293258949099,41.1596495390396,40.9551964869375,41.0040338308137,41.0494964587076,41.0777651036103,41.00265096486,41.1233971740587,41.1448523158561,40.9789316350032,41.1973307184068,41.2167422816746,41.6590756413513,41.566628322717,40.8730406958581,41.5721394987623,41.6201260905618
390,41.0426586431564,40.9714008421171,41.4254888200179,41.1331112331826,0,0,1,1,40.9639864760667,41.4105277998449,41.063453598252,40.9801441252929,40.9968329112579,41.0310995590308,41.0613779398899,41.007722974211,41.1030498833989,41.113132343199,40.9747718742928,41.1675318172892,41.0899086675002,41.5653305672336,41.4254155636709,40.8794570725299,41.2728164444213,41.3614113083347
